wazaNo	isValid	type	category	damageType	power	hitPer	basePP	priority	hitCountMax	hitCountMin	sickID	sickPer	sickCont	sickTurnMin	sickTurnMax	criticalRank	shrinkPer	aiSeqNo	damageRecoverRatio	hpRecoverRatio	target	rankEffType1	rankEffType2	rankEffType3	rankEffValue1	rankEffValue2	rankEffValue3	rankEffPer1	rankEffPer2	rankEffPer3	flags	contestWazaNo
202	1	11	8	2	75	100	10	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0	135240	41
203	1	0	13	0	0	101	10	4	0	0	0	0	0	0	0	0	0	116	0	0	7	0	0	0	0	0	0	0	0	0	0	18
204	1	17	2	0	0	100	20	0	0	0	0	0	0	0	0	0	0	58	0	0	0	1	0	0	-2	0	0	0	0	0	163928	5
205	1	5	0	1	30	90	20	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	131145	28
206	1	0	0	1	40	100	40	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	131145	32
207	1	0	5	0	0	85	15	0	0	0	6	0	2	2	5	0	0	118	0	0	0	1	0	0	2	0	0	0	0	0	163928	14
208	1	0	3	0	0	101	10	0	0	0	0	0	0	0	0	0	0	32	0	50	7	0	0	0	0	0	0	0	0	0	135200	17
209	1	12	4	1	65	100	20	0	0	0	1	30	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
210	1	6	0	1	40	95	20	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	131145	31
211	1	8	7	1	70	90	25	0	0	0	0	0	0	0	0	0	0	138	0	0	0	2	0	0	1	0	0	10	0	0	131145	38
212	1	0	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	131152	3
213	1	0	1	0	0	100	15	0	0	0	7	0	3	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	139352	13
214	1	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	97	0	0	7	0	0	0	0	0	0	0	0	0	0	48
215	1	0	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	102	0	0	6	0	0	0	0	0	0	0	0	0	141600	15
216	0	0	0	1	1	100	20	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
217	1	0	0	1	1	90	15	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	131144	48
218	0	0	0	1	1	100	20	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
219	1	0	11	0	0	101	25	0	0	0	0	0	0	0	0	0	0	124	0	0	12	0	0	0	0	0	0	0	0	0	131104	17
220	1	0	13	0	0	101	20	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	163912	48
221	1	9	4	1	100	95	5	0	0	0	4	50	1	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	132168	44
222	0	4	0	1	1	100	30	0	0	0	0	0	0	0	0	0	0	126	0	0	4	0	0	0	0	0	0	0	0	0	147528	0
223	1	1	4	1	100	50	5	0	0	0	6	100	2	2	5	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	131273	43
224	1	6	0	1	120	85	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	43
225	1	15	4	2	60	100	20	0	0	0	1	30	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	131144	40
226	1	0	13	0	0	101	40	0	0	0	0	0	0	0	0	0	0	127	0	0	7	0	0	0	0	0	0	0	0	0	131072	0
227	1	0	13	0	0	100	5	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	139352	12
228	0	16	0	1	40	100	20	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
229	1	0	7	1	50	100	40	0	0	0	0	0	0	0	0	0	0	129	0	0	0	5	0	0	1	0	0	100	0	0	131145	37
230	1	0	2	0	0	100	20	0	0	0	0	0	0	0	0	0	0	24	0	0	5	7	0	0	-2	0	0	0	0	0	131160	5
231	1	8	6	1	100	75	15	0	0	0	0	0	0	0	0	0	0	69	0	0	0	2	0	0	-1	0	0	30	0	0	131145	43
232	1	8	7	1	50	95	35	0	0	0	0	0	0	0	0	0	0	139	0	0	0	1	0	0	1	0	0	10	0	0	131145	37
233	1	1	0	1	70	101	10	-1	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	131145	37
234	1	0	3	0	0	101	5	0	0	0	0	0	0	0	0	0	0	132	0	50	7	0	0	0	0	0	0	0	0	0	135200	16
235	1	11	3	0	0	101	5	0	0	0	0	0	0	0	0	0	0	132	0	50	7	0	0	0	0	0	0	0	0	0	135200	16
236	1	17	3	0	0	101	5	0	0	0	0	0	0	0	0	0	0	132	0	50	7	0	0	0	0	0	0	0	0	0	135200	16
237	1	0	0	2	60	100	15	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	131144	48
238	1	1	0	1	100	80	5	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	131145	42
239	1	15	0	2	40	100	20	0	0	0	0	0	0	0	0	0	20	146	0	0	5	0	0	0	0	0	0	0	0	0	131144	34
240	1	10	10	0	0	101	5	0	0	0	0	0	0	0	0	0	0	136	0	0	10	0	0	0	0	0	0	0	0	0	131072	23
241	1	9	10	0	0	101	5	0	0	0	0	0	0	0	0	0	0	137	0	0	10	0	0	0	0	0	0	0	0	0	131072	23
242	1	16	6	1	80	100	15	0	0	0	0	0	0	0	0	0	0	69	0	0	0	2	0	0	-1	0	0	20	0	0	131145	38
243	1	13	0	2	1	100	20	-5	0	0	0	0	0	0	0	0	0	144	0	0	13	0	0	0	0	0	0	0	0	0	8	48
244	1	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	172032	9
245	1	0	0	1	80	100	5	2	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
246	1	5	7	2	60	100	5	0	0	0	0	0	0	0	0	0	0	140	0	0	0	8	0	0	1	0	0	10	0	0	131144	40
247	1	7	6	2	80	100	15	0	0	0	0	0	0	0	0	0	0	72	0	0	0	4	0	0	-1	0	0	20	0	0	131144	41
248	1	13	13	2	120	100	10	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	131072	29
249	1	1	6	1	40	100	15	0	0	0	0	0	0	0	0	0	0	69	0	0	0	2	0	0	-1	0	0	50	0	0	131145	32
250	1	10	4	2	35	85	15	0	0	0	8	100	4	5	6	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	131144	22
251	1	16	0	1	1	100	10	0	6	6	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	163912	28
252	1	0	0	1	40	100	10	3	0	0	0	0	0	0	0	0	100	158	0	0	0	0	0	0	0	0	0	0	0	0	131145	32
253	1	0	0	2	90	100	10	0	0	0	0	0	0	0	0	0	0	159	0	0	9	0	0	0	0	0	0	0	0	0	139592	41
254	1	0	13	0	0	101	20	0	0	0	0	0	0	0	0	0	0	160	0	0	7	0	0	0	0	0	0	0	0	0	131104	9
255	1	0	0	2	1	100	10	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	131080	2
256	1	0	3	0	0	101	10	0	0	0	0	0	0	0	0	0	0	162	0	25	7	0	0	0	0	0	0	0	0	0	135200	15
257	1	9	4	2	95	90	10	0	0	0	4	10	1	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	131144	41
258	1	14	10	0	0	101	10	0	0	0	0	0	0	0	0	0	0	164	0	0	10	0	0	0	0	0	0	0	0	0	131072	23
259	1	16	1	0	0	100	15	0	0	0	12	0	1	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	139352	14
260	1	16	5	0	0	100	15	0	0	0	6	0	2	2	5	0	0	166	0	0	0	3	0	0	1	0	0	0	0	0	163928	14
261	1	9	1	0	0	85	15	0	0	0	4	0	1	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	131160	16
262	1	16	13	0	0	100	10	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	131144	11
263	1	0	0	1	70	100	20	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
264	1	1	0	1	150	100	20	-3	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	137	44
265	0	0	0	1	70	100	10	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
266	1	0	13	0	0	101	20	2	0	0	0	0	0	0	0	0	0	172	0	0	7	0	0	0	0	0	0	0	0	0	0	1
267	1	0	13	0	0	101	20	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	48
268	1	12	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	174	0	0	7	4	0	0	1	0	0	0	0	0	131104	7
269	1	16	13	0	0	100	20	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	139352	14
270	1	0	13	0	0	101	20	5	0	0	0	0	0	0	0	0	0	176	0	0	2	0	0	0	0	0	0	0	0	0	8192	10
271	1	13	13	0	0	100	10	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	32840	48
272	1	13	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	172032	1
273	1	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	179	0	0	7	0	0	0	0	0	0	0	0	0	135200	16
274	0	0	13	0	0	101	20	0	0	0	0	0	0	0	0	0	0	180	0	0	7	0	0	0	0	0	0	0	0	0	0	0
275	1	11	1	0	0	101	20	0	0	0	21	0	1	0	0	0	0	181	0	0	7	0	0	0	0	0	0	0	0	0	147488	15
276	1	1	7	1	120	100	5	0	0	0	0	0	0	0	0	0	0	182	0	0	0	1	2	0	-1	-1	0	100	100	0	131145	43
277	1	13	13	0	0	101	15	4	0	0	0	0	0	0	0	0	0	183	0	0	7	0	0	0	0	0	0	0	0	0	131072	11
278	1	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	184	0	0	7	0	0	0	0	0	0	0	0	0	131104	2
279	1	1	0	1	60	100	10	-4	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	131145	37
280	1	1	0	1	75	100	15	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
281	1	0	1	0	0	101	10	0	0	0	14	0	2	2	2	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	131160	19
282	1	16	0	1	65	100	20	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
283	1	0	0	1	1	100	5	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	131145	48
284	1	9	0	2	150	100	5	0	0	0	0	0	0	0	0	0	0	190	0	0	5	0	0	0	0	0	0	0	0	0	131144	47
285	1	13	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	172104	2
286	1	13	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	192	0	0	7	0	0	0	0	0	0	0	0	0	139296	13
287	0	0	13	0	0	101	20	0	0	0	0	0	0	0	0	0	0	193	0	0	7	0	0	0	0	0	0	0	0	0	131104	0
288	1	7	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	194	0	0	7	0	0	0	0	0	0	0	0	0	139264	13
289	0	16	13	0	0	101	10	4	0	0	0	0	0	0	0	0	0	195	0	0	7	0	0	0	0	0	0	0	0	0	8192	0
290	0	0	0	1	70	100	20	0	0	0	0	30	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	131144	0
291	1	10	0	1	80	100	10	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	180299	26
292	1	1	0	1	15	100	20	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	131145	26
293	0	0	13	0	0	101	20	0	0	0	0	0	0	0	0	0	0	213	0	0	7	0	0	0	0	0	0	0	0	0	131104	0
294	1	6	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	321	0	0	7	3	0	0	3	0	0	0	0	0	131104	11
295	1	13	6	2	70	100	5	0	0	0	0	0	0	0	0	0	0	72	0	0	0	4	0	0	-1	0	0	50	0	0	131144	44
296	1	13	6	2	70	100	5	0	0	0	0	0	0	0	0	0	0	71	0	0	0	3	0	0	-1	0	0	50	0	0	131144	47
297	1	2	2	0	0	100	15	0	0	0	0	0	0	0	0	0	0	58	0	0	0	1	0	0	-2	0	0	0	0	0	229464	5
298	1	0	1	0	0	100	20	0	0	0	6	0	2	2	5	0	0	199	0	0	4	0	0	0	0	0	0	0	0	0	196680	14
299	1	9	4	1	85	90	10	0	0	0	4	10	1	0	0	1	0	200	0	0	0	0	0	0	0	0	0	0	0	0	131145	43
300	0	4	10	0	0	101	15	0	0	0	0	0	0	0	0	0	0	201	0	0	10	0	0	0	0	0	0	0	0	0	147456	0
301	0	14	0	1	30	90	20	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
302	0	11	0	1	60	100	15	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
303	1	0	3	0	0	101	10	0	0	0	0	0	0	0	0	0	0	32	0	50	7	0	0	0	0	0	0	0	0	0	135200	16
304	1	0	0	2	90	100	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	139592	40
305	1	3	4	1	50	100	15	0	0	0	5	50	1	15	15	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	131145	37
306	1	0	6	1	75	95	10	0	0	0	0	0	0	0	0	0	0	69	0	0	0	2	0	0	-1	0	0	50	0	0	131145	38
307	1	9	0	2	150	90	5	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	131148	47
308	1	10	0	2	150	90	5	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	131148	47
309	1	8	7	1	90	90	10	0	0	0	0	0	0	0	0	0	0	139	0	0	0	1	0	0	1	0	0	20	0	0	131273	43
310	1	7	0	1	30	100	15	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	131145	31
311	1	0	0	2	50	100	10	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	131144	33
312	1	11	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	102	0	0	6	0	0	0	0	0	0	0	0	0	133152	17
313	1	16	2	0	0	100	20	0	0	0	0	0	0	0	0	0	0	62	0	0	0	4	0	0	-2	0	0	0	0	0	163928	5
314	1	2	0	2	60	95	25	0	0	0	0	0	0	0	0	1	0	43	0	0	5	0	0	0	0	0	0	0	0	0	131144	39
315	1	9	7	2	130	90	5	0	0	0	0	0	0	0	0	0	0	204	0	0	0	3	0	0	-2	0	0	100	0	0	131144	46
316	0	0	1	0	0	101	40	0	0	0	17	0	1	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	172120	0
317	1	5	6	1	60	95	15	0	0	0	0	0	0	0	0	0	0	70	0	0	0	5	0	0	-1	0	0	100	0	0	131144	38
318	0	6	7	2	60	100	5	0	0	0	0	0	0	0	0	0	0	140	0	0	0	8	0	0	1	0	0	10	0	0	131144	0
319	1	8	2	0	0	85	40	0	0	0	0	0	0	0	0	0	0	62	0	0	0	4	0	0	-2	0	0	0	0	0	172376	5
320	0	11	1	0	0	55	15	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	139608	0
321	1	0	2	0	0	100	20	0	0	0	0	0	0	0	0	0	0	205	0	0	0	1	2	0	-1	-1	0	0	0	0	163928	5
322	1	13	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	206	0	0	7	2	4	0	1	1	0	0	0	0	131104	8
323	1	10	0	2	150	100	5	0	0	0	0	0	0	0	0	0	0	190	0	0	5	0	0	0	0	0	0	0	0	0	131144	47
324	0	6	4	2	75	100	15	0	0	0	6	10	2	2	5	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	131144	0
325	1	7	0	1	60	101	20	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	131273	36
326	1	13	0	2	80	100	20	0	0	0	0	0	0	0	0	0	10	31	0	0	0	0	0	0	0	0	0	0	0	0	131144	41
327	0	1	0	1	85	90	15	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	131273	0
328	1	4	4	1	35	85	15	0	0	0	8	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	131144	22
329	1	14	9	2	1	30	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	131144	2
330	1	10	6	2	90	85	10	0	0	0	0	0	0	0	0	0	0	73	0	0	5	6	0	0	-1	0	0	30	0	0	147528	41
331	1	11	0	1	25	100	30	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	131144	29
332	1	2	0	1	60	101	20	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	133193	37
333	1	14	0	1	25	100	30	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	131144	28
334	1	8	2	0	0	101	15	0	0	0	0	0	0	0	0	0	0	51	0	0	7	2	0	0	2	0	0	0	0	0	131104	8
335	1	0	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	131152	3
336	1	0	2	0	0	101	40	0	0	0	0	0	0	0	0	0	0	10	0	0	6	1	0	0	1	0	0	0	0	0	131360	8
337	1	15	0	1	80	100	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
338	1	11	0	2	150	90	5	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	147532	47
339	1	1	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	208	0	0	7	1	2	0	1	1	0	0	0	0	131104	9
340	1	2	4	1	85	85	5	0	0	0	1	30	1	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	133707	26
341	1	4	6	2	55	95	15	0	0	0	0	0	0	0	0	0	0	70	0	0	0	5	0	0	-1	0	0	100	0	0	131144	40
342	1	3	4	1	50	100	25	0	0	0	5	10	1	0	0	1	0	209	0	0	0	0	0	0	0	0	0	0	0	0	131145	37
343	1	0	0	1	60	100	25	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	73	37
344	1	12	4	1	120	100	15	0	0	0	1	10	1	0	0	0	0	262	-33	0	0	0	0	0	0	0	0	0	0	0	131145	44
345	1	11	0	2	60	101	20	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	131144	39
346	0	10	10	0	0	101	15	0	0	0	0	0	0	0	0	0	0	210	0	0	10	0	0	0	0	0	0	0	0	0	147456	0
347	1	13	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	211	0	0	7	3	4	0	1	1	0	0	0	0	131104	9
348	1	11	0	1	90	100	15	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	131145	42
349	1	15	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	212	0	0	7	1	5	0	1	1	0	0	0	0	196640	8
350	1	5	0	1	25	90	10	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	131144	28
351	1	12	0	2	60	101	20	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	131144	40
352	1	10	4	2	60	100	20	0	0	0	6	20	2	2	5	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	133192	41
353	1	8	13	2	140	100	5	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	131072	47
354	1	13	7	2	140	90	5	0	0	0	0	0	0	0	0	0	0	204	0	0	0	3	0	0	-2	0	0	100	0	0	131144	47
355	1	2	3	0	0	101	10	0	0	0	0	0	0	0	0	0	0	214	0	50	7	0	0	0	0	0	0	0	0	0	135200	17
356	1	13	10	0	0	101	5	0	0	0	0	0	0	0	0	0	0	215	0	0	10	0	0	0	0	0	0	0	0	0	147456	23
357	0	13	1	0	0	101	40	0	0	0	17	0	1	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	139352	0
358	0	1	0	1	70	100	10	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
359	1	1	7	1	100	90	10	0	0	0	0	0	0	0	0	0	0	218	0	0	0	5	0	0	-1	0	0	100	0	0	131273	42
360	1	8	0	1	1	100	5	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	131145	48
361	1	13	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	220	0	0	7	0	0	0	0	0	0	0	0	0	135200	17
362	1	10	0	2	65	100	10	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	131144	40
363	0	0	0	1	1	100	15	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	131144	0
364	1	0	0	1	30	100	10	2	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	64	32
365	1	2	0	1	60	100	20	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	133193	38
366	1	2	11	0	0	101	15	0	0	0	0	0	0	0	0	0	0	225	0	0	12	0	0	0	0	0	0	0	0	0	131104	23
367	1	0	13	0	0	101	30	0	0	0	0	0	0	0	0	0	0	226	0	0	1	0	0	0	0	0	0	0	0	0	131072	10
368	1	8	0	1	1	100	10	0	0	0	0	0	0	0	0	0	0	227	0	0	13	0	0	0	0	0	0	0	0	0	131144	48
369	1	6	0	1	70	100	20	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
370	1	1	7	1	120	100	5	0	0	0	0	0	0	0	0	0	0	229	0	0	0	2	4	0	-1	-1	0	100	100	0	131145	43
371	1	16	0	1	50	100	10	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
372	1	16	0	1	60	100	10	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	131145	37
373	0	16	1	0	0	100	15	0	0	0	19	0	2	5	5	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	131160	0
374	1	16	0	1	1	100	10	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	163912	48
375	1	13	13	0	0	100	10	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	131144	16
376	0	0	0	2	1	101	5	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
377	0	13	1	0	0	100	15	0	0	0	15	0	2	5	5	0	0	236	0	0	5	0	0	0	0	0	0	0	0	0	131160	0
378	0	0	0	2	1	100	5	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
379	1	13	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	238	0	0	7	0	0	0	0	0	0	0	0	0	131104	2
380	1	3	13	0	0	100	10	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	163928	1
381	0	0	11	0	0	101	30	0	0	0	0	0	0	0	0	0	0	240	0	0	12	0	0	0	0	0	0	0	0	0	131104	0
382	0	0	0	0	1	101	20	0	0	0	0	0	0	0	0	0	0	241	0	0	3	0	0	0	0	0	0	0	0	0	8200	0
383	1	0	13	0	0	101	20	0	0	0	0	0	0	0	0	0	0	242	0	0	7	0	0	0	0	0	0	0	0	0	0	1
384	1	13	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	172104	2
385	1	13	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	172104	2
386	0	16	0	1	1	100	5	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
387	1	0	0	1	140	100	5	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	131145	43
388	1	11	13	0	0	100	10	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	163928	1
389	1	16	0	1	70	100	5	1	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
390	1	3	11	0	0	101	20	0	0	0	0	0	0	0	0	0	0	249	0	0	11	0	0	0	0	0	0	0	0	0	147472	14
391	1	13	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	172104	11
392	1	10	13	0	0	101	20	0	0	0	0	0	0	0	0	0	0	251	0	0	7	0	0	0	0	0	0	0	0	0	131104	15
393	1	12	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	252	0	0	7	0	0	0	0	0	0	0	0	0	131616	1
394	1	9	4	1	120	100	15	0	0	0	4	10	1	0	0	0	0	253	-33	0	0	0	0	0	0	0	0	0	0	0	132169	43
395	1	1	4	1	60	100	10	0	0	0	1	30	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	131145	37
396	1	1	0	2	80	101	20	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	133192	41
397	1	5	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	52	0	0	7	5	0	0	2	0	0	0	0	0	131104	9
398	1	3	4	1	80	100	20	0	0	0	5	30	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
399	1	16	0	2	80	100	15	0	0	0	0	0	0	0	0	0	20	31	0	0	0	0	0	0	0	0	0	0	0	0	133192	41
400	1	16	0	1	70	100	15	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	131145	37
401	1	10	0	1	90	90	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	42
402	1	11	0	1	80	100	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131144	37
403	1	2	0	2	75	95	15	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	133192	41
404	1	6	0	1	80	100	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
405	1	6	6	2	90	100	10	0	0	0	0	0	0	0	0	0	0	72	0	0	0	4	0	0	-1	0	0	10	0	0	139592	41
406	1	15	0	2	85	100	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133192	41
